id,user_id,customer_name,address,meter_number,billing_period,billing_date,previous_reading,current_reading,units_consumed,rate_per_unit,bill_amount
1,6,Linda White,1357 Pine Street,Springfield,IL 62701,112233,June 2024,2024-07-01,22345,22567,222,0.15,33.30
2,7,Kevin Brown,2468 Oak Street,Springfield,IL 62701,223344,June 2024,2024-07-01,33456,33789,333,0.15,49.95
3,8,Nancy Green,3579 Maple Street,Springfield,IL 62701,334455,June 2024,2024-07-01,44567,44900,333,0.15,49.95
4,9,Jason Black,4680 Elm Street,Springfield,IL 62701,445566,June 2024,2024-07-01,55678,56000,322,0.15,48.30
5,10,Susan Blue,5791 Birch Street,Springfield,IL 62701,556677,June 2024,2024-07-01,66789,67200,411,0.15,61.65
6,6,Linda White,1357 Pine Street,Springfield,IL 62701,112233,July 2024,2024-08-01,22567,22789,222,0.15,33.30
7,7,Kevin Brown,2468 Oak Street,Springfield,IL 62701,223344,July 2024,2024-08-01,33789,34122,333,0.15,49.95
8,8,Nancy Green,3579 Maple Street,Springfield,IL 62701,334455,July 2024,2024-08-01,44900,45233,333,0.15,49.95
9,9,Jason Black,4680 Elm Street,Springfield,IL 62701,445566,July 2024,2024-08-01,56000,56322,322,0.15,48.30
10,10,Susan Blue,5791 Birch Street,Springfield,IL 62701,556677,July 2024,2024-08-01,67200,67611,411,0.15,61.65
